1043,https://images-na.ssl-images-amazon.com/images/I/51V5kukI2DL._AC_US218_.jpg,"Premium High Performance RCA Voyager Pro 7"" 16GB Touchscreen Tablet With Keyboard Case Computer Quad-Core 1.2Ghz Processor 1G Memory 16GB Hard Drive Webcam Wifi Bluetooth Android 6.0-Blue",,,,7.0 inches | Android | 16.0 GB,,,,,,,RCA,65,Tablet,Mobile Computer,,,,,
1044,https://images-na.ssl-images-amazon.com/images/I/41yH8+ms1zL._AC_US218_.jpg,"Azpen 2018 Version 7"" Quad Core 8GB Android Tablet HD Screen",,,,7 inches | Android 4.4 KitKat | 8.0 GB,,,,,,,Azpen,40.97,Tablet,Mobile Computer,,,,,
1045,https://images-na.ssl-images-amazon.com/images/I/41ZhovTmtiL._AC_US218_.jpg,Android Tablet 10 Inch Unlocked 3G Phone Computer Tablet with Dual SIM Card Slots Camera Cell Phone Support 2G 3G WiFi Bluetooth 1GB+16GB MTK 6580 Quad-Core Touch Screen IPS 1280x800,,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Lectrus,81.99,Tablet,Mobile Computer,,,,,
1046,https://images-na.ssl-images-amazon.com/images/I/41NWodGidJL._AC_US218_.jpg,Apple iPad 2 MC769LL/A - 16GB - 2nd Generation (Black) - Tablet with Skin (Certified Refurbished),,,,9.7 inches | iOS 7 | 16.0 GB,,,,,,,Apple,114,Tablet,Mobile Computer,,,,,
1047,https://images-na.ssl-images-amazon.com/images/I/51BHvnRF0JL._AC_US218_.jpg,ibowin M130 10.1Inch Tablet PC 1280x800 IPS Resolution MTK Quad core CPU Octa core GPU 2G RAM 16G ROM 3G Cellular PC Android 6.0 WiFi Bluetooth AGPS - Silver,,,,10.1 inches | Android 6.0 | 16.0 GB,,,,,,,ibowin,72.99,Tablet,Mobile Computer,,,,,
1048,https://images-na.ssl-images-amazon.com/images/I/51TmFaHJQZL._AC_US218_.jpg,Android Tablet with Dual Sim Card Slots - YELLYOUTH 10 inch Octa Core 4GB RAM 64GB ROM Tablet PC 3G GSM Phone Call GPS WiFi Bluetooth YY-107S - Silver,,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,YELLYOUTH,96.99,Tablet,Mobile Computer,,,,,
1049,https://images-na.ssl-images-amazon.com/images/I/41Xl6wQGZVL._AC_US218_.jpg,YUNTAB 7 inch Android 4.4 Google WiFi Tablet PC Allwinner A33 Quad-Core 8GB 1024x600 Display TF Card Up to 32GB Tablet White,,,,7.0 inches | Android 4.4 KitKat | 8.0 GB,,,,,,,Yuntab,39.99,Tablet,Mobile Computer,,,,,
1050,https://images-na.ssl-images-amazon.com/images/I/51wTyUtC1VL._AC_US218_.jpg,"Tagital 7"" Quad Core 3G Phablet Android Phone Tablet Android 6.0 1024 x 600 IPS Screen Dual Camera Unlocked GSM w/Dual Sim Card Slot 2G/3G Phablet",,,,7.0 inches | Android 6.0 Marshmallow | 8.0 GB,,,,,,,Tagital,59.99,Tablet,Mobile Computer,,,,,
1051,https://images-na.ssl-images-amazon.com/images/I/51ND1BhqQbL._AC_US218_.jpg,YDZB 2018 New Android Tablet 10 inch Octa Core 10 Inch Tablet PC Android 6.0 Octa Core 4GB RAM 64GB ROM Dual SIM 5.0MP GPS (Black),,,,10.1 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,YDZB,96.99,Tablet,Mobile Computer,,,,,
1052,https://images-na.ssl-images-amazon.com/images/I/41A+4h-Kd8L._AC_US218_.jpg,Tablet Android 10 Inch Unlocked 3G Phone Tablets PC Dual SIM Card Slots 1GB+16GB Quad-Core IPS 1280x800 WiFi Bluetooth GPS Dual Camera PhabletSilver,,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Wecool,88.98,Tablet,Mobile Computer,,,,,
1053,https://images-na.ssl-images-amazon.com/images/I/51bnMU3tAML._AC_US218_.jpg,BENEVE 10.1 Inch Andriod Tablet Andriod 7.0 System WiFi Tablet with IPS 1920x1200 Touch Screen 2GB RAM 16GB ROM Bluetooth and 2.0+5.0MP Dual Camera,,,,10.1 inches | Andriod 7.0 | 16.0 GB,,,,,,,BENEVE,89.99,Tablet,Mobile Computer,,,,,
1054,https://images-na.ssl-images-amazon.com/images/I/41NXYWNHohL._AC_US218_.jpg,AOSON R101 10-Inch Android 6.0 Marshmallow MTK8163 Quad Core Tablet PC 2GB RAM 16GB Internal Storage 1280x800 IPS HD Touch Screen Dual Camera Wi-Fi Bluetooth Black Rear,,,,10.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Aoson,84.99,Tablet,Mobile Computer,,,,,
1055,https://images-na.ssl-images-amazon.com/images/I/51mK7ET1z-L._AC_US218_.jpg,"Dragon Touch K8 Kids Tablet 8"" HD IPS Display 2GB RAM 16GB Nand Flash Android Tablet Kidoz Pre-Installed with All-New Disney Content (More Than $80 Value) - Exclusively Designed Stylus",,,,8.0 inches | Android | 16.0 GB,,,,,,,Dragon Touch,99.99,Tablet,Mobile Computer,,,,,
1056,https://images-na.ssl-images-amazon.com/images/I/51Lr2hyO1vL._AC_US218_.jpg,Kivors 3G Touch Tablet 9.6 Inch - Android 5.1-1G RAM + 16GB ROM - 800 x 1280 HD - Dual SIM Card Slots - Dual Camera - Bluetooth - WiFi for Kids Adults (9.6 inch Rosegold),,,,9.6 inches | Android 5.1 Lollipop | 16.0 GB,,,,,,,Kivors,88.99,Tablet,Mobile Computer,,,,,
1057,https://images-na.ssl-images-amazon.com/images/I/41nvgzb5ewL._AC_US218_.jpg,Lenovo A12 Android Tablet ZA1Y0061US 12.2-inch 32GB Tablet  Gunmetal Grey,,,,12.2 inches | Android 6.0 Marshmallow | 32 GB,,,,,,,Lenovo,247.95,Tablet,Mobile Computer,,,,,
1058,https://images-na.ssl-images-amazon.com/images/I/5157kEMAoeL._AC_US218_.jpg,ALLDOCUBE iPlay8 Tablet 7.85 inch 1024x768 IPS Screen Tablet PCs MTK MT8163 Quad Core 1.3Ghz 1GB RAM 16GB ROM Android 6.0 Support HDMI Output Dual Band WiFi White Gray,,,,7.8 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,ALLDOCUBE,69.99,Tablet,Mobile Computer,,,,,
1059,https://images-na.ssl-images-amazon.com/images/I/41ipXUh4A2L._AC_US218_.jpg,"Samsung Galaxy Tab 4 10.1"" 16gb WiFi Black (Certified Refurbished)",,,,10.1 inches | Android 4.1 (JellyBean) | 16.0 GB,,,,,,,Samsung,164.99,Tablet,Mobile Computer,,,,,
1060,https://images-na.ssl-images-amazon.com/images/I/41Szs1vP5tL._AC_US218_.jpg,Azpen A1050 10.1 Inch Tablet 16GB Storage Bluetooth 4.0 Android 6.0 WiFi Quad Core,,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Azpen,79.88,Tablet,Mobile Computer,,,,,
1061,https://images-na.ssl-images-amazon.com/images/I/31+CcqwUQtL._AC_US218_.jpg,NuVision 8-inch Full HD (1920 x 1200) IPS Touchscreen Tablet PC Intel Atom x5-Z8300 Quad-Core Processor 2GB RAM 32GB SSD eMMC Webcam WIFI Windows 10 Silver,,,,8.0 inches | Windows 10 Home | 32.0 GB,,,,,,,NUVISION,89,Tablet,Mobile Computer,,,,,
1062,https://images-na.ssl-images-amazon.com/images/I/41T9Oomih4L._AC_US218_.jpg,"BENEVE 10.1"" Inch Android Tablet 6.0 Quad CORE/GPS Fast CPU 2GB RAM + 16GB ROM 1.3GHz CPU Dual Camera Front 2MP+Rear 5MPWiFi Bluetooth HD IPS Screen Google Play Dual Band 5.0G WiFi",,,,10.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,BENEVE,89.99,Tablet,Mobile Computer,,,,,
1063,https://images-na.ssl-images-amazon.com/images/I/51uYnEXaV1L._AC_US218_.jpg,"Premium High Performance RCA Galileo Pro 11.5"" 32GB Touchscreen Tablet Computer with Keyboard Case Quad-Core 1.3Ghz Processor 1G Memory 32GB HDD Webcam Wifi Bluetooth Android 6.0-Blue",,,,11.5 inches | Android 6.0 Marshmallow | 32.0 GB,,,,,,,RCA,119.9,Tablet,Mobile Computer,,,,,
1064,https://images-na.ssl-images-amazon.com/images/I/41GMNnVDquL._AC_US218_.jpg,Tablet Android 6.0 Unlocked 3G Phone with Dual Sim Card Slots7 Inch Tablet PC Quad-core1GB+8GB Storage1024x600 IPS Touch ScreenDual CameraBluetooth 4.0 Wi-Fi GPS Google Play,,,,7.0 inches | Android 6.0 Marshmallow | 8.0 GB,,,,,,,Lectrus,66.99,Tablet,Mobile Computer,,,,,
1065,https://images-na.ssl-images-amazon.com/images/I/51mL47GIrPL._AC_US218_.jpg,"Lenovo Yoga Tab ZA0H0064US Tablet 10.1"" (Slate Black)",,,,10.1 inches | Android 5.1 Lollipop | 16 GB,,,,,,,Lenovo,199.99,Tablet,Mobile Computer,,,,,
1066,https://images-na.ssl-images-amazon.com/images/I/41uFavoIOpL._AC_US218_.jpg,"Lenovo Tab 4 Plus 10"" Android Tablet 64-bit Octa-Core Snapdragon 2.0GHz 16 GB Storage Black ZA2T0000US",,,,10.0 inches | Android 7.1 Nougat | 16 GB,,,,,,,Lenovo,271.41,Tablet,Mobile Computer,,,,,
1067,https://images-na.ssl-images-amazon.com/images/I/5157kEMAoeL._AC_US218_.jpg,ALLDOCUBE iPlay8 Tablet 7.85 inch 1024x768 IPS Screen Tablet PCs MTK MT8163 Quad Core 1.3Ghz 1GB RAM 16GB ROM Android 6.0 Support HDMI Output Dual Band WiFi White Gray,,,,7.8 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,ALLDOCUBE,69.99,Tablet,Mobile Computer,,,,,
1068,https://images-na.ssl-images-amazon.com/images/I/51GWJPz4TPL._AC_US218_.jpg,Samsung Galaxy Tab S3 9.7 Inch Tablet with S Pen - Silver - 32GB Accessory Bundle Includes 32GB MicroSDHC Memory Card Case for Tablets Stylus USB-C Adapter Screen Cleaner and Earbuds,,,,9.7 inches | Android | 32.0 GB,,,,,,,Samsung,547.99,Tablet,Mobile Computer,,,,,
1069,https://images-na.ssl-images-amazon.com/images/I/41iDueyhvjL._AC_US218_.jpg,"Android Tablet with SIM Card Slot Unlocked 10 inch - YELLYOUTH 10.1"" IPS Screen Octa Core 4GB RAM 64GB ROM 3G Phablet with WiFi GPS Bluetooth Tablets - White with Silver",,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,YELLYOUTH,98.99,Tablet,Mobile Computer,,,,,
1070,https://images-na.ssl-images-amazon.com/images/I/417hHTaZb+L._AC_US218_.jpg,Dragon Touch V10 10.1 inch Tablet Android 7.0 Nougat MTK Quad Core 1GB RAM 16GB Storage 800x1280 IPS Display with Mini HDMI GPS,,,,10.1 inches | Android 7.0 Nougat | 16 GB,,,,,,,Dragon Touch,98.99,Tablet,Mobile Computer,,,,,
1071,https://images-na.ssl-images-amazon.com/images/I/41n7sb7Ck3L._AC_US218_.jpg,Dragon Touch X10 Tablet 10.1 inch Android Tablet 2GB RAM 16GB Nand Flash Android 7.0 Nougat 10 Inch Quad Core 800x1280 IPS Display with Micro HDMI Slot,,,,10.1 inches | Android 7.0 Nougat | 16.0 GB,,,,,,,Dragon Touch,109.99,Tablet,Mobile Computer,,,,,
1072,https://images-na.ssl-images-amazon.com/images/I/51Oxcw36acL._AC_US218_.jpg,Samsung Galaxy Tab Pro 10.1 Tablet (Black) 16GB Certified Refurbished,,,,10.1 inches | android 4.4 (kit-kat) | 16.0 GB,,,,,,,Samsung,149,Tablet,Mobile Computer,,,,,
1073,https://images-na.ssl-images-amazon.com/images/I/41P2-P4p6fL._AC_US218_.jpg,"10 inch Android Tablet with Sim Card Slot - YELLYOUTH 10"" 3G Unlocked GSM Phone Call Tablets Octa Core 4GB RAM 64GB ROM Built in Bluetooth GPS WiFi OTG Camera (Silver)",,,,10.0 inches | Android | 64.0 GB,,,,,,,YELLYOUTH,96.99,Tablet,Mobile Computer,,,,,
1074,https://images-na.ssl-images-amazon.com/images/I/31bcHKq9AIL._AC_US218_.jpg,Lenovo Tab 7 Essential 7-Inch Android Tablet MediaTek 64-bit (Quad-Core 1.3 GHz) Processor 1GB RAM 16GB Storage Black ZA300146US,,,,7.0 inches | Android 7 | LCD,,,,,,,Lenovo,82.99,Tablet,Mobile Computer,,,,,
1075,https://images-na.ssl-images-amazon.com/images/I/319wdB1EkWL._AC_US218_.jpg,Huawei PC  53018231 7-Inch Tablet,,,,7.0 inches | EMUI 5.1 (Android 6.0) | 16 GB,,,,,,,Huawei,71.99,Tablet,Mobile Computer,,,,,
1076,https://images-na.ssl-images-amazon.com/images/I/51XhpEYrSJL._AC_US218_.jpg,"2017 Newest Premium High Performance RCA Voyager 7"" 16GB Touchscreen Tablet/Computer with Keyboard Case - Quad-Core 1.2Ghz Processor - 16GB Hard Drive - Webcam Wifi Bluetooth - Android 6.0 - Blue",,,,7.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,RCA,58.99,Tablet,Mobile Computer,,,,,
1077,https://images-na.ssl-images-amazon.com/images/I/41YEkerF0EL._AC_US218_.jpg,"Samsung Electronics SM-T830NZAAXAR Galaxy Tab S4 10.5"" Gray",,,,10.5 inches | Android O | 4 GB,,,,,,,Samsung,647.99,Tablet,Mobile Computer,,,,,
1078,https://images-na.ssl-images-amazon.com/images/I/51ufsJEOboL._AC_US218_.jpg,"LLLCCORP UNLOCKED 10"" Mid Android 6.0 Octa Core 2.5GHZ Dual SIM Card Slot 4GB RAM 64GB ROM BUILT IN WIFI Bluetooth GPS (Silver)",,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,LLLCCORP,88.99,Tablet,Mobile Computer,,,,,
1079,https://images-na.ssl-images-amazon.com/images/I/41aIDppiRlL._AC_US218_.jpg,"Dragon Touch V10 10"" Tablet 16 GB GPS Android Tablets",,,,10.1 inches | Android 7.0 Nougat | 16.0 GB,,,,,,,Dragon Touch,99.99,Tablet,Mobile Computer,,,,,
1080,https://images-na.ssl-images-amazon.com/images/I/41Vtw5jgpXL._AC_US218_.jpg,7 Inch Tablet PC Google Android 6.0 TOPELOTEK Tablet 1GB RAM 8GB Storage 800x1280 IPS Touchscreen with Dual Camera Quad Core Bluetooth 4.0,,,,7.0 inches | Android 6.0 Marshmallow | 8.0 GB,,,,,,,TOPELOTEK,49.99,Tablet,Mobile Computer,,,,,
1081,https://images-na.ssl-images-amazon.com/images/I/51+9cgCFPWL._AC_US218_.jpg,NuVision 8-inch Full HD (1920 x 1200) IPS Touchscreen Tablet PC Intel Atom Z3735F Quad-Core Processor 2GB RAM 32GB SSD eMMC,,,,8.0 inches | Windows 10 Home | 32.0 GB,,,,,,,NUVISION,92,Tablet,Mobile Computer,,,,,
1082,https://images-na.ssl-images-amazon.com/images/I/41zaT8tYLHL._AC_US218_.jpg,"Kids Tablet B.B.PAW 7"" Whole Brain Education Tablet para niños 2 to 6 Years Old with 90+ Preloaded Learning and Training Apps-Candy Pink",,,,7.0 inches | Android | 32.0 GB,,,,,,,B.B.PAW,54.99,Tablet,Mobile Computer,,,,,
1083,https://images-na.ssl-images-amazon.com/images/I/314xqcKxfpL._AC_US218_.jpg,Samsung Galaxy Tab A SM-T580NZKAXAR 10.1-Inch 16 GB Tablet (Black),,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Samsung,219,Tablet,Mobile Computer,,,,,
1084,https://images-na.ssl-images-amazon.com/images/I/511nC5IKt1L._AC_US218_.jpg,7Inches Tablet PC HD Touchscreen Mic WIFI Android 4.4 Octa Core Quad Core Tablet PC 1GB + 8GB Dual Camera Wifi Support Games Skype MSN Facebook Twitter etc (Red),,,,7.0 inches | Android 4.4 KitKat | 800 x 480,,,,,,,Aurorax,34.99,Tablet,Mobile Computer,,,,,
1085,https://images-na.ssl-images-amazon.com/images/I/51OhfsDgGtL._AC_US218_.jpg,Lenovo TAB3 A8-ZA170001US - 8-Inch 16 GB Tablet (Black) (Certified Refurbished),,,,8.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Lenovo,64.99,Tablet,Mobile Computer,,,,,
1086,https://images-na.ssl-images-amazon.com/images/I/41vO9SKD5DL._AC_US218_.jpg,Yuntab Google Android 7 inch Tablet PC WiFi 8GB Ram Z88 Allwinner A33 Quad-core 2200mAh Dual Cameras Pad (Green),,,,7.0 inches | Android | 8.0 GB,,,,,,,Yuntab,43.99,Tablet,Mobile Computer,,,,,
1087,https://images-na.ssl-images-amazon.com/images/I/41R+PmHQRGL._AC_US218_.jpg,"2018 Samsung Newest Galaxy Tab A Flagship 7"" (1280 X 800) Tablet PC | T-Shark 2A Quad-Core | 1.5G | 8GB ROM | MicroSD Slot | Bluetooth | WIFI | GPS Enabled | Android 5.1 Lollipop OS (White)",,,,7.0 inches | Android 5.1 Lollipop | 8.0 GB,,,,,,,Samsung,145.99,Tablet,Mobile Computer,,,,,
1088,https://images-na.ssl-images-amazon.com/images/I/51nIQSYLqaL._AC_US218_.jpg,"BENEVE 10.1"" Inch Tablet Android 7.0 Quad CORE Super 2GB RAM + 16GB ROM 1.3GHz CPU Dual Camera Front 2MP+Rear 5MP Dual 5G WiFi BT HD IPS Screen Play Store Netflix InstalledUpgraded",,,,10.0 inches | Android 7.0 Nougat | 16.0 GB,,,,,,,BENEVE,97.99,Tablet,Mobile Computer,,,,,
1089,https://images-na.ssl-images-amazon.com/images/I/41dmPkyL+PL._AC_US218_.jpg,Haehne 7 Inches Tablet PC - Google Android 5.1 Quad Core 1024 X 600 Screen 2.0MP 0.3MP Dual Camera 1G RAM 8GB ROM 2800mAh WiFi Bluetooth (White),,,,7.0 inches | Android 5.1 Lollipop | 8.0 GB,,,,,,,Haehne,42.99,Tablet,Mobile Computer,,,,,
1090,https://images-na.ssl-images-amazon.com/images/I/412bGhe77pL._AC_US218_.jpg,Dell Inspiron 11 3000 2-in-1 Convertible Touchscreen Laptop/Tablet PC AMD A6-9220e Processor up to 2.4 GHz 4GB DDR4 32GB eMMC SSD Radeon R4 Graphics WiFi Webcam Bluetooth Windows 10 Gray,,,,11.6 inches | Windows 10 | 1366 x 768,,,,,,,Dell,249.99,Tablet,Mobile Computer,,,,,
1091,https://images-na.ssl-images-amazon.com/images/I/416frd+LLvL._AC_US218_.jpg,Batai 10.1 inch Tablet Android 6.0 OS GPS Octa Core 2.5GHZ 2560X1600 IPS Bluetooth 4.0 RAM 4GB ROM 64GB 13.0MP 3G Phone Call Tablets PC Dual sim Card (Metallic Silver),,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,Batai,95.99,Tablet,Mobile Computer,,,,,
1092,https://images-na.ssl-images-amazon.com/images/I/415rAfIfohL._AC_US218_.jpg,"Huawei MediaPad M5 Android Tablet with 8.4"" 2.5D Display Octa Core Quick Charge Dual Harman Kardon-Tuned Speakers WiFi Only 4GB+64GB Space Gray (US Warranty)",,,,8.4 inches | Android 8.0 | 64.0 GB,,,,,,,Huawei,319.99,Tablet,Mobile Computer,,,,,
1093,https://images-na.ssl-images-amazon.com/images/I/41Bj9VjcrLL._AC_US218_.jpg,"Newest Lenovo Tab 10 Tablet PC 10.1"" HD Touchscreen Qualcomm Quad-core Processor 1.30GHz 1GB Memory 16GB Storage Wifi(Certified Refurbished)",,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Lenovo,98,Tablet,Mobile Computer,,,,,
1094,https://images-na.ssl-images-amazon.com/images/I/41g8Om+RUmL._AC_US218_.jpg,Apple iPad with Retina Display MD510LL/A (16GB Wi-Fi Black) 4th Generation (Certified Refurbished),,,,24.6 centimeters | iOS 6 | 16.0 GB,,,,,,,Apple,106.98,Tablet,Mobile Computer,,,,,
1095,https://images-na.ssl-images-amazon.com/images/I/41YEQeYkvXL._AC_US218_.jpg,"Kids Tablet PCAndroid 7.1 Kids Tablet7"" HD Screen1GB/8GB Babypad Edition PC with WiFi and Camera and Games Google Play StoreBluetooth Supported Kids-Proof Case GMS Certified (Pink)",,,,7.0 inches | Android 7.1 Nougat | 8.0 GB,,,,,,,BENEVE,59.99,Tablet,Mobile Computer,,,,,
1096,https://images-na.ssl-images-amazon.com/images/I/41LnS-M88uL._AC_US218_.jpg,CHUWI Hi9 Air 10.1 Inch Gaming Tablet PC Android 8.0 Oreo OS (MT6797 X20) 10 Core/Maximum up to 2.3GHz 2560x1600 IPS 4GB RAM/64GB ROMDual SIM 4G LTEWiFi BluetoothFree Leather Case,,,,10.1 inches | Android 8.0 | 64.0 GB,,,,,,,CHUWI,239.99,Tablet,Mobile Computer,,,,,
1097,https://images-na.ssl-images-amazon.com/images/I/41D824Ys6UL._AC_US218_.jpg,Samsung Galaxy Tab A 7.0 (2016) SM-T280NZ 8GB 7-inch Wi-Fi Tablet PC - International Stock No Warranty (WHITE),,,,7.0 inches | Android 5.1 Lollipop | 8.0 GB,,,,,,,Samsung,117,Tablet,Mobile Computer,,,,,
1098,https://images-na.ssl-images-amazon.com/images/I/519kIesuwZL._AC_US218_.jpg,Dragon Touch Y88X Plus 7 inch Kids Tablet Kidoz Pre-Installed with Disney Content (More Than $80 Value) (Android 6.0 OS),,,,7.0 inches | Android 6.0 Marshmallow | 8 GB,,,,,,,Dragon Touch,69.99,Tablet,Mobile Computer,,,,,
1099,https://images-na.ssl-images-amazon.com/images/I/51WEHjUiXnL._AC_US218_.jpg,LLLtrade 7 inch Kids Education Tablets Android 5.1 8GB Kids Software Pre-Installed Premium Parent Control Educational Game AppsWiFiBluetooth (Blue),,,,7.0 inches | Android 5.1 Lollipop | 3G,,,,,,,llltrade,45.99,Tablet,Mobile Computer,,,,,
1100,https://images-na.ssl-images-amazon.com/images/I/41PinwpjZRL._AC_US218_.jpg,"2017 Newest Premium High Performance RCA Voyager 7"" 16GB Touchscreen Tablet Computer Quad-Core 1.2Ghz Processor 1G Memory 16GB Hard Drive Webcam Wifi Bluetooth Android 6.0-Pink",,,,7.0 inches | Android | 16.0 GB,,,,,,,RCA,54.99,Tablet,Mobile Computer,,,,,
1101,https://images-na.ssl-images-amazon.com/images/I/41ZNKSNfcPL._AC_US218_.jpg,LLLtrade 10.1 inch Tablet Android 6.0 Unlocked 3G Phone Tablet PC 4GB+64GB MTK 6592 Octa Core IPS Screen Dual Camera Cell phone Support 2G 3G Wifi Dual SIM Card Bluetooth (White),,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,llltrade,87.99,Tablet,Mobile Computer,,,,,
1102,https://images-na.ssl-images-amazon.com/images/I/410o+I-g7WL._AC_US218_.jpg,Kids Tablet Android 7.1 7 Inch HD Display Quad Core Children Tablet 1GB RAM + 8GB ROM with WiFi Dual Camera Bluetooth EducationalTouch Screen Kid ModeParental Control (D Blue),,,,7.0 inches | Android 7.1 | 8.0 GB,,,,,,,BENEVE,59.99,Tablet,Mobile Computer,,,,,
1103,https://images-na.ssl-images-amazon.com/images/I/41JTf8I7WTL._AC_US218_.jpg,AOSON M815 Android 7.0 Tablet Android 7.0 Nougat MTK Quad-core Processor 8-Inch IPS HD Touchscreen 2GB RAM 32GB Storage 4000mAh with Bluetooth 4.0 Wi-Fi GPS Black GMS Certified,,,,8.0 inches | Android 7.0 Nougat | 32.0 GB,,,,,,,Aoson,84.99,Tablet,Mobile Computer,,,,,
1104,https://images-na.ssl-images-amazon.com/images/I/51uQjL-YmaL._AC_US218_.jpg,"Samsung - Galaxy Kids Tablet 7.0"" The Lego Ninjago Movie Edition White",,,,7.0 inches | Android 4.4 KitKat | 8.0 GB,,,,,,,Samsung,92,Tablet,Mobile Computer,,,,,
1105,https://images-na.ssl-images-amazon.com/images/I/41JLGtUz88L._AC_US218_.jpg,LG G PAD X 8.0 V520 - 32GB ( WIFI + 4G LTE UNLOCKED ) GSM Android Tablet,,,,8.0 inches | Android 6.0 Marshmallow | 32.0 GB,,,,,,,lg,157.94,Tablet,Mobile Computer,,,,,
1106,https://images-na.ssl-images-amazon.com/images/I/415rAfIfohL._AC_US218_.jpg,"Huawei MediaPad M5 Android Tablet with 8.4"" 2.5D Display Octa Core Quick Charge Dual Harman Kardon-Tuned Speakers WiFi Only 4GB+64GB Space Gray (US Warranty)",,,,8.4 inches | Android 8.0 | 64.0 GB,,,,,,,Huawei,319.99,Tablet,Mobile Computer,,,,,
1107,https://images-na.ssl-images-amazon.com/images/I/51d4-tAfCFL._AC_US218_.jpg,iRULU 7 inch Tablet Google Android 6.0 Quad Core 1024x600 Dual Camera Wi-Fi Bluetooth1GB/8GBPlay Store Netfilix Skype 3D Game Supported GMS Certified with One Year Warranty (Black),,,,7.0 inches | Android 6.0 Marshmallow | 8.0 GB,,,,,,,iRULU,61.99,Tablet,Mobile Computer,,,,,
1108,https://images-na.ssl-images-amazon.com/images/I/51OAoMTk-FL._AC_US218_.jpg,Premium RCA Voyager 7-inch Touchscreen Tablet PC 1.2Ghz Quad-Core Processor 1G Memory 16GB Hard Drive Webcam Wifi Bluetooth Android 6.0 Marshmallow OS Black,,,,7.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,RCA,48.88,Tablet,Mobile Computer,,,,,
1109,https://images-na.ssl-images-amazon.com/images/I/51raw84JqHL._AC_US218_.jpg,RCA Voyager Pro 7 16GB Tablet with Keyboard Case Android 6.0 (Marshmallow) in Purple (RCT6873W42KC M),,,,7.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,RCA,65.88,Tablet,Mobile Computer,,,,,
1110,https://images-na.ssl-images-amazon.com/images/I/41PPXm6DxkL._AC_US218_.jpg,Samsung Galaxy Tab E 16GB 9.6-Inch Tablet SM-T560 - Black (Certified Refurbished),,,,9.6 inches | Android 5.1 (Lollipop) | 16.0 GB,,,,,,,Samsung,149.99,Tablet,Mobile Computer,,,,,
1111,https://images-na.ssl-images-amazon.com/images/I/41+wrfskIuL._AC_US218_.jpg,Batai 111 10 inch Android Octa Core Tablet with Two Sim Card Slots Unlocked 3G Phone Call Phablet 4GB RAM 64GB ROM Built in WiFi and Camera GPS,,,,10.0 inches | Android 6.0 Marshmallow | 64.0 GB,,,,,,,Batai,83.99,Tablet,Mobile Computer,,,,,
1112,https://images-na.ssl-images-amazon.com/images/I/41QzGE8JCRL._AC_US218_.jpg,"2016 Newest Premium High Performance RCA Voyager 7"" 16GB Touchscreen Tablet Computer Quad-Core 1.2Ghz Processor 1G Memory 16GB Hard Drive Webcam Wifi Bluetooth Android 6.0-Pink",,,,7.0 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,RCA,46.88,Tablet,Mobile Computer,,,,,
1113,https://images-na.ssl-images-amazon.com/images/I/512f7uR7byL._AC_US218_.jpg,Kids TabletYue Ying 7 inch Tablet for KidsGoogle Android 6.0Per-Installed iWawa APPIPS Display Screen1GB+8GBWi-FiBluetooth (Red),,,,7.0 inches | Android 6.0 Marshmallow | 8.0 GB,,,,,,,Yue Ying,64.99,Tablet,Mobile Computer,,,,,
1114,https://images-na.ssl-images-amazon.com/images/I/41n7sb7Ck3L._AC_US218_.jpg,Dragon Touch X10 Tablet 10.1 inch Android Tablet 2GB RAM 16GB Nand Flash Android 7.0 Nougat 10 Inch Quad Core 800x1280 IPS Display with Micro HDMI Slot,,,,10.1 inches | Android 7.0 Nougat | 16.0 GB,,,,,,,Dragon Touch,109.99,Tablet,Mobile Computer,,,,,
1115,https://images-na.ssl-images-amazon.com/images/I/51WJdf81OzL._AC_US218_.jpg,[3 Bonus Item] Simbans TangoTab 10 Inch Tablet 1GB RAM 16GB Disk Android 6 Marshmallow 10.1 Inch IPS Screen Quad Core HDMI 2 + 5 MP Camera GPS WiFi USB PC Computer,,,,10.1 inches | Android 6.0 Marshmallow | 16.0 GB,,,,,,,Simbans,117.95,Tablet,Mobile Computer,,,,,
